Total,Flanders,Rest
17,9,8
17,12,5
36,21,15
49,31,18
81,59,22
109,77,32
27,16,11
64,38,26
91,37,54
92,57,35
171,107,64
247,141,106
319,167,152
172,76,96
203,123,80
377,200,177
407,256,151
528,285,243
681,381,300
652,393,259
456,248,208
473,234,239
1317,807,510
1187,686,501
1186,716,470
1346,821,525
1495,938,557
831,478,353
670,364,306
1711,1034,677
1664,880,784
1479,840,639
1431,799,632
1665,951,714
901,543,358
642,321,321
1883,1137,746
1469,830,639
1549,913,636
2178,1375,803
2273,1561,712
1005,669,336
499,292,207
522,307,215
1459,701,758
1568,650,918
1624,886,738
1348,681,667
691,240,451
441,161,280
1233,600,633
1234,594,640
755,417,338
952,434,518
776,398,378
380,133,247
200,111,89
733,446,287
551,361,190
504,310,194
556,357,199
231,160,71
277,172,105
133,82,51
646,451,195
520,340,180
528,344,184
408,251,157
423,245,178
235,116,119
111,56,55
455,323,132
391,247,144
304,187,117
286,170,116
321,209,112
146,93,53
81,57,24
300,215,85
276,180,96
363,220,143
68,40,28
240,166,74
122,78,44
75,44,31
298,184,114
198,137,61
177,101,76
154,107,47
157,88,69
60,39,21
48,23,25
59,37,22
159,95,64
149,94,55
159,107,52
151,78,73
69,47,22
52,31,21
145,88,57
142,76,66
107,57,50
94,51,43