Portugal,LR,NC
1,0,1
2,1,1
3,1,2
4,1,3
8,1,7
9,2,7
9,4,5
2,1,1
18,8,10
19,9,10
34,24,10
57,31,26
76,48,28
86,30,56
117,39,78
194,78,116
143,39,104
235,90,145
260,91,169
320,96,224
460,220,240
302,124,178
633,120,513
549,192,357
724,54,670
902,183,719
792,215,577
446,156,290
1035,221,814
808,218,590
783,237,546
852,166,686
638,171,467
754,434,320
452,197,255
712,121,591
699,266,433
815,59,756
1516,429,1087
515,18,497
598,16,582
349,61,288
514,124,390
643,114,529
750,137,613
181,72,109
663,140,523
521,75,446
657,233,424
516,206,310
603,205,398
371,108,263
444,87,357
595,163,432
472,109,363
163,33,130
295,52,243
183,119,64
551,127,424
295,124,171
115,108,7
92,1,91
242,91,151
178,109,69
480,407,73
533,299,234
553,175,378
138,76,62
175,77,98
98,42,56
234,181,53
219,154,65
187,123,64
264,187,77
227,148,79
226,139,87
173,127,46
223,131,92
228,201,27
252,193,59
288,230,58
271,191,80
152,131,21
165,144,21
219,212,7
285,279,6
304,269,35
350,325,25
257,232,25
297,271,26
200,197,3
195,160,35
366,339,27
331,311,20
377,343,34
382,351,31
342,264,78
192,150,42
421,391,30
294,273,21
310,287,23
270,248,22
283,219,64
227,209,18
346,309,37
300,244,56
336,289,47
417,367,50
375,326,49
377,360,17
292,260,32
259,174,85
345,327,18
367,329,38
311,265,46
451,381,70
323,295,28
457,412,45
266,235,31
229,199,30
313,238,75
328,289,39
374,318,56
413,334,79
328,271,57
232,208,24
287,214,73
443,345,98
418,348,70